Key;PET::Histogram::ih.max;PET::Intensity::stat.range;PET::Intensity::stat.max;PET::Intensity::loc.peak.global;PET::GLSZM::szm.sze;PET::Intensity::loc.peak.local;PET::GLCM::cm.diff.var;PET::GLSZM::szm.zsnu.norm;PET::GLSZM::szm.zsnu;PET::GLDZM::dzm.hgze;PET::GLCM::cm.sum.entr;PET::GLCM::cm.joint.entr;PET::Histogram::ih.entropy;PET::GLSZM::szm.hgze;PET::GLDZM::dzm.zd.entr;PET::Intensity::stat.P90;PET::IVHistogram::ivh.I10;PET::GLSZM::szm.szhge;PET::GLCM::cm.diff.entr
10;45.81734848;1.865155399;2.303049564;1.994410908;0.342353185;1.951800669;3.533795188;0.138429922;115.3121248;625.6380175;5.359273542;7.778884239;4.411734375;304.6146459;9.702172685;1.606590033;32.15788353;98.55685058;2.647282738
11;66.28311157;3.237357311;3.343633652;2.668816848;0.554259643;2.668816848;22.44014846;0.299964099;259.1689815;1003.053076;6.565254074;10.18981594;5.572125361;912.8402778;9.754887502;2.31409955;46.37552744;515.5982419;3.901122122
12;56.17112732;2.489736766;2.84090519;2.419765941;0.341287498;2.40825408;6.387293086;0.154122342;132.0828471;712.5733001;5.800454224;8.530309622;4.834486748;433.9101517;9.743151394;1.646852732;32.97336876;145.4131723;2.990630576
13;41.71266556;1.74316895;2.118979216;1.789454768;0.333494611;1.758865034;2.123575926;0.12998067;75.7787307;530.7509596;4.984148447;7.001489476;4.061069615;270.8730703;9.183921541;1.423938036;28.51620551;89.28903271;2.304695799
14;83.1174469;4.313446969;4.166416645;3.087911306;0.429906473;3.023603056;9.945014342;0.191873151;199.5480769;879.1457536;5.869078581;8.58745849;4.904168777;1082.825;10.02236781;1.605371952;32.10939409;540.3085948;3.036503005
15;37.01837921;1.50144136;1.851986289;1.601016285;0.418448788;1.584934626;3.728721749;0.182436611;42.14285714;466.5993607;5.270880906;7.81171579;4.368366473;250.4112554;7.851749041;1.494928479;29.96089883;86.13665457;2.786227111
16;34.4596138;1.271093369;1.739133358;1.481877069;0.330131343;1.468767379;2.917749361;0.141219981;35.44621514;448.8455314;5.064956189;7.276797033;4.148707184;166.5139442;7.971543554;1.400883317;28.06079993;46.6954645;2.511957145
18;127.1933823;5.941024214;6.397480965;5.523748219;0.492782145;5.523748219;24.21693152;0.248021884;543.9119927;2587.513027;6.544477909;9.59848883;5.505193949;1889.618787;11.0986901;2.651509762;53.07913553;1115.292813;3.479021816
19;38.6493187;1.608574867;1.938839197;1.76864412;0.389613309;1.746935433;5.327878406;0.172943163;100.652921;420.4695551;5.409868755;7.873895427;4.503796398;226.6391753;9.184875343;1.557356715;31.20528687;76.76145219;2.767143463
2;72.70266724;3.55264464;3.637246132;3.381126743;0.451335417;3.372600472;13.0059925;0.214991988;904.2563005;1497.385225;6.735504258;10.16583358;5.784248103;1431.882073;12.03347802;2.882925272;57.69203064;613.2799196;3.582222726
20;65.67070007;3.24736461;3.32056427;3.135448927;0.465990702;3.098486927;10.11097851;0.222447777;629.5272085;939.0760561;6.360913529;9.284788105;5.407309496;883.5706714;11.4644662;2.362940311;47.26399385;413.1965822;3.12160074
21;88.49977112;3.426946759;4.452088356;4.13022793;0.483979478;4.13022793;16.34081222;0.241093817;713.1555105;2641.742945;6.680663846;10.1519533;5.678311643;1065.564909;11.52905407;3.494230032;69.90283237;514.5855779;3.694607585
23;38.57021332;1.9296753;1.94824481;1.73816381;0.37202988;1.683565145;3.196767116;0.151301302;207.1314828;426.4456923;5.349963092;7.674095989;4.428196237;435.2242513;10.41452397;1.466244817;29.37139064;156.0044272;2.558075417
24;59.52404404;2.398608625;3.019387007;2.679342431;0.387899637;2.513482312;6.436800899;0.163397828;232.5151089;1117.785093;6.073644359;8.945096181;5.125420908;495.3042867;10.47190898;2.386217117;47.76556798;188.0227875;3.047047363
25;55.33501434;2.543154508;2.80086422;2.465424473;0.404624131;2.324080702;7.168582092;0.179965086;347.6925466;713.3657334;6.014721511;8.847673939;5.054122022;503.4994824;10.91173859;1.851388454;37.05419463;202.0519735;3.036361315
26;41.68374634;1.789198399;2.113895178;1.758505846;0.316516806;1.699079145;2.89209721;0.124443126;123.4475806;461.9476505;5.182849357;7.423622476;4.250673737;256.108871;9.952180181;1.357104778;27.1439358;73.99574437;2.485064027
27;82.17189026;3.535736978;4.141223431;3.641986905;0.48029506;3.611558298;19.07293878;0.240780865;244.8741396;1860.512312;6.606396227;10.18390454;5.593017229;1050.018682;9.986170827;3.037504911;60.7597296;511.7237402;3.849241696
28;74.46809387;3.43498069;3.75300622;3.403183447;0.442603806;3.133433011;11.26721562;0.199575739;497.5423185;1092.569421;5.928252909;8.999207099;4.973275003;771.3995187;11.28286492;1.939736605;38.81051098;382.7128881;3.297617159
29;54.33084488;2.403031826;2.718964577;2.378762319;0.404230165;2.277970034;8.582463743;0.184402694;143.4652956;813.3580643;6.028664518;9.062139666;5.077990308;545.2249357;9.598484957;2.026929379;40.56865543;215.4896551;3.231591247
3;70.91805267;3.550381992;3.546200275;3.281008331;0.483024985;3.113087063;14.75737777;0.233071199;945.336785;1018.544489;6.68775381;10.01637905;5.723755029;1069.458333;11.98288336;2.461579084;49.26636641;506.1694837;3.497195151
30;54.19779205;2.484019071;2.736610651;2.346433625;0.396561121;2.346433625;5.532333774;0.173033501;191.0289855;764.667786;5.705166276;8.39006387;4.77297997;550.0724638;10.10671286;1.893747449;37.90183202;209.4980614;2.902150588
31;33.0967865;1.397807837;1.688504934;1.500527819;0.387587812;1.471266711;3.217702905;0.16248844;56.54597701;385.870445;5.143044856;7.456083176;4.24453926;215.2586207;8.442943496;1.405543804;28.1639422;77.92521766;2.603922665
33;85.63304138;3.665345669;4.295782089;3.647624526;0.454828329;3.642518296;16.44711683;0.221276427;411.3528779;1614.429618;6.438876088;9.770745206;5.43147586;863.267886;10.85600767;2.622661352;52.50872882;433.5772852;3.594800391
34;75.30266571;3.442105442;3.801163197;3.564872589;0.465433878;3.518205775;15.10790837;0.231409332;346.8825884;1480.212259;6.359939311;9.538913686;5.348395325;1050.310207;10.54845045;2.603503227;52.13115565;527.9006689;3.5210321
35;64.9808197;2.853852749;3.252292395;2.892200315;0.393344034;2.729591313;11.42644569;0.183866379;200.2304867;1109.792184;6.187003957;9.332636157;5.21977942;713.9247016;10.08511514;2.210405827;44.26879334;263.6529905;3.370101968
36;84.98995209;3.937360883;4.281898499;3.840550711;0.484687233;3.69692515;16.10866736;0.243338968;564.7897458;2222.271651;6.651954706;10.21209099;5.700923125;1685.585954;11.17880741;3.220397234;64.44075307;795.3091377;3.712733886
37;53.85702515;2.921836793;2.707929134;2.458312698;0.373110888;2.434600332;4.177556884;0.157285891;337.8500931;674.3442212;5.629251596;8.1362138;4.702062519;938.9976723;11.06784718;1.738718152;34.82184747;333.9647328;2.722745241
38;70.74251556;3.300057635;3.537173033;3.134591954;0.477836768;2.996048322;13.12304017;0.230624246;755.5250305;1006.771991;6.38550224;9.503105483;5.415751385;795.0757021;11.67527764;2.252692223;45.09230849;368.052564;3.337862342
39;78.92622375;3.685061246;3.976066828;3.609690872;0.481382872;3.564695473;13.33410027;0.230237149;596.7746914;1309.044599;6.328141797;9.533025875;5.376734375;985.6226852;11.33676358;2.239466906;44.82011213;517.0923537;3.395527009
4;38.33544159;1.680628687;1.938926101;1.721783813;0.344961053;1.678061809;3.612757677;0.138233652;83.35489221;469.5499575;5.327742622;7.743022101;4.381389388;301.4461028;9.236014192;1.41389215;28.31594854;94.22896832;2.643968749
40;39.54063416;1.701505244;1.978133798;1.693635805;0.381426566;1.660912446;2.840220805;0.165698925;171.3326886;466.3855988;5.032189462;7.26659402;4.137022499;293.5193424;10.010152;1.426053524;28.53257134;102.2658415;2.481714159
41;49.50959015;2.21867615;2.489927053;2.105650394;0.436505424;2.078944561;10.07311246;0.195993649;150.7191157;765.9555241;6.022683714;8.954726148;5.087293427;538.4057217;9.586839788;1.953781724;39.12501849;241.0993457;3.157204902
42;99.92694092;5.312317073;5.00611496;3.882478146;0.511773933;3.876153531;19.83986789;0.256990455;1227.129424;1556.301386;6.559156056;9.820382964;5.57469559;2082.73089;12.21919078;2.488833666;49.82595865;1200.709518;3.512291086
43;92.01012421;4.299316823;4.643722057;3.757849141;0.588945182;3.544700952;43.07415655;0.331686511;265.0175219;1757.271151;6.844450498;10.58859158;5.759829852;1313.968711;9.642051693;2.887347937;57.78810533;879.6554646;4.238620871
44;43.51772308;1.673902512;2.195512295;2.027773987;0.309889699;1.979512534;2.9983027;0.125895602;96.43603133;627.0762881;5.318841091;7.657277053;4.399207215;252.3198433;9.581200582;1.660865903;33.23219585;69.34450866;2.567584939
46;32.89247513;1.189521849;1.67485559;1.487523268;0.305474075;1.449263397;2.890289517;0.11400455;43.54973822;439.4101783;5.14412783;7.411420967;4.203044384;150.6544503;8.577428828;1.390084386;27.85667494;49.28705236;2.536476824
47;77.52690125;3.425866604;3.899132967;3.234936361;0.404085976;3.188302358;7.795942157;0.179388891;186.9232246;1177.65272;5.755885177;8.382086456;4.795121472;694.1161228;10.02513956;1.862433553;37.26532754;285.6395174;2.956480641
48;77.34079742;3.970746301;3.883246899;3.102922257;0.444069062;2.920652917;9.521183572;0.202680038;690.7335681;937.9212488;6.235690252;9.258990616;5.290710797;1080.464789;11.73096699;2.047188044;40.95001261;507.1202177;3.20656699
49;57.85415268;2.965717617;2.904218197;2.636707083;0.368940463;2.538170216;4.604726646;0.158110893;474.6489007;680.082177;5.939561081;8.515462443;5.006979787;777.9343771;11.54771093;1.915055752;38.3200122;272.2991613;2.796164392
5;57.91819763;2.729670018;2.919131994;2.579280575;0.430925534;2.489270036;10.03349335;0.199573917;220.7287523;834.1736107;6.200284842;9.161432696;5.225860791;673.1528029;10.10932735;1.981603146;39.68924;280.6327308;3.196979474
50;64.34960938;2.955659539;3.222090721;2.815956893;0.418809174;2.780478698;9.678756792;0.189607163;395.3309353;978.4664719;6.062138261;9.102801833;5.108586661;730.8023981;11.02583167;2.025740385;40.5286241;309.4089016;3.233089348
51;99.21401978;4.473157525;4.981779575;4.042582436;0.527274193;4.042582436;22.63527437;0.267923386;417.1567116;1715.334899;6.326350829;9.632268446;5.330794716;1089.581246;10.60069966;2.368796825;47.42244141;708.8237271;3.617010473
53;43.5569725;2.272101007;2.192658663;1.983029046;0.411823905;1.938124996;9.225556404;0.185100344;163.2585034;556.3450043;5.879259218;8.778599283;4.979808521;659.5362812;9.784634846;1.827799916;36.6111537;234.1899743;3.122849876
54;37.9526825;1.735699162;1.922724366;1.772399679;0.348674416;1.644138358;3.416708871;0.138524868;179.9438029;404.5410352;5.362300654;7.685494656;4.43804265;294.0746728;10.34010642;1.435669303;28.7405044;102.273551;2.56942765
57;53.71366501;2.334206194;2.713521719;2.295624048;0.409265809;2.295624048;7.135463633;0.191743123;195.194499;797.489985;5.849218317;8.807005717;4.943527962;469.1895874;9.98955721;1.919882059;38.43631085;182.2509734;3.134446528
58;96.44034576;4.640459701;4.856855869;4.331428353;0.463537454;4.224922925;16.65069344;0.226496602;747.4387879;1734.416206;6.786710984;10.26238398;5.790079101;1456.894545;11.68703819;2.958743572;59.22792411;675.6681516;3.67875339
59;101.4654465;4.596697688;5.115959167;4.776617659;0.524010133;4.767157361;27.1761548;0.272003522;914.7478442;2302.031958;6.832265539;10.38320448;5.801873896;1524.832293;11.71374894;3.392583609;67.88523029;851.6509063;3.882911824
6;68.35556793;3.127822191;3.440970898;2.765955254;0.413291149;2.709442553;9.887140573;0.188687809;215.6701662;1001.334291;6.015492287;9.056351383;5.052486933;701.6867892;10.15860969;2.02580452;40.56297456;313.1795657;3.265774469
61;90.23643494;4.014746308;4.525128365;4.139970316;0.540112955;4.092964705;27.26982775;0.294145372;451.8072917;2193.851255;6.993493765;10.84654473;5.990617029;1453.126953;10.57845208;3.56526947;71.30764188;834.2527659;4.11136077
64;52.10414124;2.377064556;2.626254559;2.277278843;0.436236011;2.221268133;7.398439545;0.199599683;257.6831913;738.9567958;6.012544027;8.899729338;5.072527859;534.7776917;10.33427329;1.903508902;38.08380047;220.8751738;3.075226657
65;57.3601799;2.410098046;2.876527071;2.424765441;0.413498775;2.424765441;10.64497452;0.205031053;146.5972028;989.222651;5.780066833;8.896083941;4.87130126;543.9314685;9.473407823;2.069549084;41.42858084;195.1209018;3.319256674
66;119.4232941;5.630144417;5.998437405;5.490897787;0.549548483;5.408720121;31.19937849;0.294619221;884.1522826;2616.37569;7.013834096;10.64627053;6.015437995;2046.644785;11.54922827;3.344343662;66.96586053;1287.891501;3.904303328
67;45.53231812;2.00832966;2.28293705;2.031986308;0.306610568;2.031986308;3.484973271;0.122358468;97.03026482;554.3481813;5.557228203;7.966428127;4.60639877;366.889029;9.631177056;1.609600067;32.19214812;100.986496;2.632108391
68;45.76716995;1.665428162;2.30168128;1.913215416;0.499962041;1.832216101;5.548550469;0.243594183;37.02631579;934.6992647;5.136908654;7.77999003;4.233865046;361.9671053;7.247927513;1.888642311;37.77506255;157.6197197;2.937460199
69;62.90545654;2.631961703;3.173197508;2.782813559;0.353376778;2.782813559;5.861033577;0.149643255;111.9331551;1092.496823;5.696161493;8.257534757;4.713923325;559.8088235;9.54689446;1.957468987;39.17471635;194.9990399;2.903674653
7;53.33559418;2.577327698;2.68730855;2.418808326;0.428871246;2.198426564;8.620920419;0.201098042;214.9738073;663.4899515;6.082537162;9.122980195;5.148487646;590.1880262;10.06204614;1.925191402;38.54961754;224.5197334;3.236933476
8;55.12571716;2.231156945;2.78312254;2.261725044;0.423325888;2.152953138;8.378387023;0.187731314;201.8111628;987.1564595;6.01104248;9.076845152;5.055232217;471.655814;10.07012094;2.017511129;40.38931216;210.3626821;3.268123347
9;35.31644058;1.409455746;1.772779107;1.622980132;0.333085296;1.621005153;3.484616595;0.127933153;53.85985748;428.8578571;5.476896125;7.977169935;4.549788305;214.4370546;8.717676423;1.522610426;30.46646745;59.50172991;2.715689553
